Anime Name,Condition,Views,Latest Episode
Love Live! Nijigasaki High School Idol Club Season 2,Completed,"87,691","013
"
Build Divide: Code Black,Completed,"295,405","012
"
Smile of the Arsnotoria the Animation,Completed,"79,986","012
"
Black Rock Shooter - Dawn Fall,Completed,"161,631","012
"
Tesla Note,Completed,"179,809","013
"
I Tried Asking In Dogeza,Completed,"1,325,239","(Special)
"
Fanfare of Adolescence,Completed,"80,893","013
"
Yuki Yuna is a Hero: The Great Mankai Chapter,Completed,"128,128","012
"
Muhyo & Roji’s Bureau of Supernatural Investigation Season 2,Completed,"273,010","024
"
Maesetsu! Opening Act,Completed,"96,763","012
"
Legend of the Galactic Heroes: Die Neue These Season 4,Completed,"151,729","012
"
Battle Athletes Victory ReSTART!,Completed,"62,561","012
"
Theatre of Darkness: Yamishibai 9,Completed,"126,791","013
"
Drowning Sorrows in Raging Fire,Completed,"118,941","012
"
CARDFIGHT!! VANGUARD will+Dress,Completed,"30,496","013
"
Theatre of Darkness: Yamishibai 10,Ongoing,"78,030","013
"
Don't Call Us A JUNK GAME!,Completed,"103,247","012
"
TenSura - OVA,Completed,"1,461,975","005
"
A Certain Scientific Railgun T,Completed,"1,601,678","025
"
Ayakashi Triangle,Ongoing,"123,858","006
"
The Lucifer and Biscuit Hammer,Completed,"301,623","024
"
Yojouhan Time Machine Blues,Completed,"44,458","006
"
KanColle: Someday in that Sea,Ongoing,"63,595","007
"
Miss Kobayashi's Dragon Maid S Short Animation Series,Completed,"346,450","013
"
No Guns Life Season 2,Completed,"398,580","024
"
Love All Play,Completed,"217,137","024
"
NIGHT HEAD 2041,Completed,"233,881","012
"
ORIENT Part 2,Completed,"329,805","024
"
Mr Love: Queen's Choice,Completed,"412,323","012
"
Dropkick on my Devil!! X,Completed,"114,152","012
"
My Master Has No Tail,Completed,"71,550","013
"
Blue Reflection Ray,Completed,"171,144","024
"
PuraOre! ~Pride of Orange~,Completed,"78,793","012
"
TEPPEN!!!!!!!!!!!!!!! Laughing 'til You Cry,Completed,"42,952","012
"
Yowamushi Pedal: LIMIT BREAK,Ongoing,"289,924","023
"
Phantom of the Idol,Completed,"69,803","010
"
Pokémon Evolutions,Completed,"93,369","008
"
Kaginado,Completed,"59,286","012
"
SHINEPOST,Completed,"60,544","012
"
Technoroid OVERMIND,Ongoing,"65,069","010
"
Strike Witches: Road to Berlin,Completed,"264,264","012
"
Shenmue the Animation,Completed,"184,044","013
"
Extreme Hearts,Completed,"59,066","012
"
D4DJ First Mix,Completed,"160,739","013
"
Extra Olympia Kyklos,Completed,"133,183","024
"
IDOLiSH7: Third BEAT! Part 2,Ongoing,"43,579","017
"
Healin' Good Pretty Cure,Completed,"588,261","045
"
Mr. Osomatsu 3,Completed,"335,052","025
"
I'M KODAMA KAWASHIRI,Completed,"69,091","024
"
Grand Blues!,Completed,"121,438","012
"
Full-Time Magister 5,Completed,"408,335","012
"
Estab Life: Great Escape,Completed,"70,624","012
"
Musashino!,Completed,"35,001","012
"
